customer_id,gender,seniorCitizen,partner,Dependents,tenure,Phone_Service,MultipleLines,InternetService,Online_Security,Online_Backup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,paperlessbilling,paymentmethod,MonthlyCharges,TotalCharges,Churn
6467-CHFZW,Male,0.0,Yes,Yes,47.0,Yes,Yes,,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.56116612550426,4767.332732896677,Yes
8665-UTDHZ,Male,0.0,Yes,,1.0,No,No phone service,,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,27.200071210179406,-191.68285765281064,Yes
5248-YGIJN,Male,0.0,Yes,No,72.0,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),88.00308198492726,6164.052212103277,No
8773-HHUOZ,Female,0.0,No,Yes,17.0,Yes,No,,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,70.42849344190698,1332.2782259315195,Yes
3841-NFECX,Female,1.0,Yes,No,71.0,Yes,Yes,,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),95.26264459931338,6612.460908239662,No
4929-XIHVW,Male,,Yes,No,2.0,Yes,No,,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),94.11898003938398,-5.38287070979078,No
6827-IEAUQ,Female,0.0,Yes,Yes,27.0,Yes,No,,Yes,Yes,Yes,Yes,No,No,One year,No,,71.59624590035314,1311.8183156986036,No
7310-EGVHZ,Male,0.0,,No,1.0,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),22.043740306546677,-68.40708100236633,No
3413-BMNZE,,1.0,No,No,1.0,Yes,No,,,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),51.454799582702464,-298.99042705035373,No
6234-RAAPL,Female,0.0,Yes,Yes,72.0,Yes,Yes,,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),102.59426600355316,7353.028368545024,No
6047-YHPVI,Male,0.0,No,No,5.0,Yes,No,,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.99575750321718,633.3706722994918,Yes
6572-ADKRS,Female,0.0,No,No,46.0,Yes,,,,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),77.87648037953679,,No
5380-WJKOV,Male,0.0,,No,34.0,Yes,Yes,,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,109.20356826592894,3562.053633629217,Yes
8168-UQWWF,Female,0.0,No,No,11.0,Yes,Yes,,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,,97.31162914225155,1243.162891879295,Yes
8865-TNMNX,Male,0.0,Yes,Yes,10.0,Yes,No,,No,Yes,No,No,No,No,One year,No,Mailed check,48.72895554362499,216.71434372499905,No
9489-DEDVP,Female,0.0,Yes,Yes,70.0,Yes,,,Yes,Yes,No,No,Yes,No,Two year,Yes,,69.97519787238764,4688.215831168613,No
9867-JCZSP,Female,,Yes,,17.0,,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,22.79630627314487,427.8151674223366,No
4671-VJLCL,Female,0.0,No,No,,Yes,Yes,,,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.20557788284987,5060.1375341835765,No
4080-IIARD,Female,,Yes,No,13.0,Yes,Yes,,,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,80.05936978332812,1003.3178416213432,No
3714-NTNFO,Female,0.0,No,No,49.0,Yes,Yes,,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,83.25104064727581,3721.159645634353,No
5948-UJZLF,Male,0.0,No,No,2.0,Yes,No,,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,46.456205672279914,351.39162127352824,No
7760-OYPDY,Female,0.0,No,No,2.0,Yes,No,,No,No,No,No,Yes,No,Month-to-month,Yes,,78.86677705922673,-190.94212659133876,Yes
7639-LIAYI,Male,0.0,No,No,52.0,Yes,Yes,,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),85.59441017953317,,No
2954-PIBKO,Female,0.0,Yes,Yes,69.0,Yes,Yes,,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),66.2277856045411,4151.51150020439,No
8012-SOUDQ,,1.0,No,No,43.0,,Yes,,,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,88.00475207787943,4152.745790636435,No
9420-LOJKX,Female,0.0,No,No,15.0,Yes,,,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,,100.58899484256357,1288.235173058256,Yes
6575-SUVOI,Female,1.0,Yes,No,25.0,Yes,Yes,,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.85285947679562,1523.8705228970205,No
7495-OOKFY,Female,1.0,Yes,No,8.0,Yes,Yes,,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),78.29295296658782,475.4870440279324,Yes
4667-QONEA,Female,1.0,Yes,Yes,60.0,Yes,No,,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,,71.20366036188729,4144.841782425304,No
1658-BYGOY,Male,1.0,No,No,18.0,Yes,Yes,,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.74248035352406,1941.011831942601,Yes
8769-KKTPH,Female,0.0,Yes,Yes,63.0,Yes,Yes,,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),103.97095046093133,6448.826472387805,No
5067-XJQFU,Male,1.0,Yes,Yes,66.0,,,,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,109.31893549818102,,No
3957-SQXML,Female,0.0,,Yes,34.0,Yes,,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.67059809242389,1134.6419413819249,No
5954-BDFSG,Female,0.0,No,No,72.0,Yes,Yes,,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),108.87080624599469,7660.708301021626,No
0434-CSFON,,0.0,Yes,,47.0,Yes,,,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.1684492504487,4832.978296456505,No
1215-FIGMP,,0.0,No,,60.0,Yes,Yes,,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),92.92911069586042,5328.250640474364,No
0526-SXDJP,Male,0.0,Yes,No,72.0,No,No phone service,,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),38.69246324521323,,No
0557-ASKVU,Female,0.0,Yes,Yes,18.0,Yes,No,,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),58.7010418427335,898.036554957039,No
5698-BQJOH,Female,,No,No,9.0,Yes,Yes,,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,91.69681130463137,680.1199988048131,Yes
5122-CYFXA,Female,0.0,No,No,3.0,Yes,No,,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,76.87357533763854,-30.311473533383804,No
8627-ZYGSZ,,0.0,Yes,No,47.0,Yes,Yes,,No,Yes,No,No,No,No,One year,Yes,Electronic check,76.12942888987048,3581.513856412681,No
3410-YOQBQ,Female,0.0,No,No,31.0,Yes,,,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.40560171838449,2613.118761360198,No
3170-NMYVV,,0.0,Yes,Yes,50.0,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),18.284772751910307,889.069197160994,No
7410-OIEDU,Male,,No,No,,Yes,No,,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,87.38338034611765,908.8280899481234,No
2273-QCKXA,Male,0.0,No,No,1.0,Yes,No,,No,No,No,Yes,No,No,Month-to-month,No,,45.73226047671013,247.3418178384632,No
0731-EBJQB,Female,0.0,Yes,Yes,52.0,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,24.64047718716479,1020.0632821401975,No
1891-QRQSA,Male,1.0,Yes,Yes,64.0,Yes,Yes,,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,,104.32099589435364,7050.626779348569,No
8028-PNXHQ,Male,0.0,Yes,,,Yes,Yes,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,,21.710142734628242,1717.8394348802265,No
5630-AHZIL,Female,0.0,No,Yes,3.0,Yes,No,,,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),59.555338325287444,,No
2673-CXQEU,Female,1.0,No,No,56.0,,Yes,,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,118.93980751396049,6579.711576979044,No
6416-JNVRK,Female,0.0,No,No,46.0,Yes,No,,No,No,No,No,No,Yes,One year,No,Credit card (automatic),65.85153761927309,2729.7712038466525,No
5590-ZSKRV,Female,,Yes,Yes,8.0,Yes,No,,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,60.47651824793537,397.2522202962094,No
0191-ZHSKZ,Male,1.0,No,No,30.0,Yes,No,,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,78.35713181226183,2374.7918390244517,No
3887-PBQAO,Female,0.0,,,45.0,Yes,Yes,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.43018327581369,1463.3634127005791,No
5919-TMRGD,Female,0.0,No,Yes,1.0,Yes,No,,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,77.28019178078809,-143.13384243898358,Yes
8108-UXRQN,,0.0,Yes,Yes,11.0,No,No phone service,,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,52.192690085912325,551.0123484146842,No
9191-MYQKX,Female,0.0,Yes,No,7.0,Yes,No,,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),73.62930576127829,661.3669709189969,Yes
9919-YLNNG,Female,0.0,No,,42.0,Yes,No,,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,,106.63925069490551,4437.454665890802,No
0318-ZOPWS,Female,0.0,Yes,No,49.0,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,,20.596407270494105,904.9442779776458,No
4445-ZJNMU,Male,0.0,No,No,9.0,Yes,Yes,,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),97.80153658476488,996.3840810832698,No
4808-YNLEU,Female,0.0,Yes,No,35.0,Yes,No,,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),64.83393532510965,1996.125521574153,No
1862-QRWPE,,0.0,Yes,Yes,48.0,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.251932567653803,979.5263782817406,No
2796-NNUFI,Female,0.0,Yes,Yes,46.0,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,20.59064719399592,893.0214268540794,No
3016-KSVCP,Male,0.0,Yes,No,29.0,No,No phone service,,,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.94561024398226,1257.0398117124696,No
4767-HZZHQ,,,Yes,Yes,30.0,Yes,No,,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),84.33910097967843,2587.8763465473776,No
2424-WVHPL,Male,,No,,1.0,Yes,No,,No,No,No,Yes,No,No,Month-to-month,No,,76.3193590153513,4.475605393825774,No
7233-PAHHL,Male,0.0,Yes,Yes,66.0,Yes,Yes,,,No,Yes,Yes,Yes,Yes,Two year,Yes,,83.58523920003859,5482.829950536328,No
6067-NGCEU,Female,0.0,No,No,,Yes,Yes,,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,,115.79690317490515,7265.833664778387,No
9848-JQJTX,Male,0.0,No,,72.0,Yes,Yes,,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),101.83383233967297,7624.298280939768,No
8637-XJIVR,Female,0.0,No,No,12.0,Yes,Yes,,,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.53009865825084,1063.5436049967311,Yes
9803-FTJCG,,0.0,Yes,Yes,71.0,Yes,Yes,,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),63.822234268634716,4825.140858660325,No
0278-YXOOG,Male,0.0,No,No,5.0,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,16.213616263559157,-147.99654506932345,Yes
3212-KXOCR,Male,0.0,No,,52.0,,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.18014517092579,1349.7845721791898,No
4598-XLKNJ,Female,,Yes,No,25.0,Yes,No,,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,,91.7847927118209,,Yes
6380-ARCEH,Male,0.0,No,No,1.0,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,22.23459772293935,,No
3679-XASPY,Female,0.0,,Yes,1.0,Yes,,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,15.124092604914443,-22.634127818970665,No
7123-WQUHX,Male,0.0,No,,38.0,,Yes,,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),93.19417827075061,3392.2545579154025,No
5386-THSLQ,Female,1.0,Yes,No,66.0,No,No phone service,,No,Yes,Yes,No,Yes,No,One year,No,,47.54025487255132,3086.6566769117417,No
3192-NQECA,Male,0.0,Yes,No,68.0,Yes,Yes,,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),113.89692927851326,7346.657046884538,Yes
6180-YBIQI,,0.0,No,No,,No,,,No,No,No,No,No,No,Month-to-month,No,Mailed check,29.34379002124902,,No
6728-DKUCO,,0.0,Yes,Yes,72.0,Yes,Yes,,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,108.79040123513116,7122.71218026375,No
9750-BOOHV,,0.0,No,No,32.0,No,No phone service,,Yes,No,No,No,No,No,One year,No,Mailed check,25.923422613926355,1290.0625664573429,No
8597-CWYHH,,0.0,No,,43.0,,Yes,,No,No,No,No,Yes,Yes,One year,No,Mailed check,96.4147446912917,3514.276962478109,No
2848-YXSMW,Male,0.0,Yes,Yes,72.0,Yes,No,,,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),14.53017434619302,1763.5595660013869,No
0486-HECZI,,0.0,Yes,No,55.0,Yes,Yes,,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,98.69321789454906,5301.410226334112,Yes
4549-ZDQYY,Female,0.0,No,No,52.0,Yes,No,,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),57.033242688184764,3315.7210319813744,No
5712-AHQNN,Female,0.0,No,No,,Yes,No,,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,90.69946137566679,4385.20500617693,No
4846-WHAFZ,Female,1.0,Yes,No,37.0,Yes,Yes,,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.90077582989385,2598.1028268866617,Yes
5256-SKJGO,Female,0.0,Yes,Yes,64.0,,No phone service,,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,56.70690181570644,3322.7228955470027,No
3071-VBYPO,Male,0.0,Yes,Yes,3.0,Yes,No,,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,91.03407879290813,378.8071892987912,No
9560-BBZXK,Female,0.0,No,No,36.0,No,No phone service,,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),24.82452053516801,1235.1987173356022,No
5299-RULOA,Female,0.0,Yes,Yes,10.0,Yes,Yes,,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.06894425276367,1108.7186701206529,Yes
8402-OOOHJ,Female,0.0,No,No,,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.058996158338413,473.3717187198732,No
9445-ZUEQE,Male,0.0,Yes,Yes,27.0,Yes,,,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),90.1312851979929,2158.4677104982047,No
1091-SOZGA,Female,0.0,Yes,Yes,,Yes,Yes,,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),96.26947157512151,5549.692077452741,No
2928-HLDBA,Female,0.0,No,No,6.0,,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.73585217050625,399.37233476143473,No
0404-SWRVG,Male,0.0,,No,3.0,Yes,,,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,67.82541122298565,-394.7043458831071,Yes
6497-TILVL,Female,0.0,Yes,Yes,7.0,Yes,No,,,No,No,No,No,No,Month-to-month,No,Mailed check,49.22723187483449,220.08046478989968,No
7219-TLZHO,Female,0.0,Yes,Yes,4.0,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,25.619292136880098,-14.22581992438912,No
4622-YNKIJ,Male,0.0,No,,,Yes,No,,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,83.93610242381031,,No
4412-YLTKF,Female,1.0,No,No,,Yes,Yes,,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,75.0349095134838,2318.7866198279708,Yes
6734-PSBAW,Male,0.0,Yes,,72.0,Yes,Yes,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.740017622220915,1955.72715129494,No
3930-ZGWVE,Male,0.0,No,No,1.0,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,23.192267309656746,-134.96856338044765,No
2639-UGMAZ,Male,1.0,No,No,71.0,No,No phone service,,Yes,Yes,No,No,Yes,Yes,One year,Yes,,56.960500471777095,3943.027328163598,No
2876-GZYZC,Female,0.0,No,,13.0,Yes,Yes,,No,No,No,No,No,Yes,Month-to-month,Yes,,79.85212797705782,984.3093439554996,No
6207-WIOLX,,,Yes,Yes,25.0,No,No phone service,,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),60.57394728023429,1418.075203670925,Yes
8587-XYZSF,Male,0.0,No,,67.0,Yes,,,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),43.67833371940188,2997.1361374622397,No
3091-FYHKI,Male,0.0,,No,1.0,,No phone service,,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,38.9435553527789,165.28561517743697,Yes
2372-HWUHI,Male,,No,No,2.0,Yes,No,,No,No,No,No,No,No,Month-to-month,No,,47.1900430092321,-68.81093015348733,Yes
7799-LGRDP,Female,0.0,No,No,43.0,,Yes,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),30.382529239303608,1045.2634213780482,No
7850-VWJUU,Female,,No,No,23.0,Yes,No,,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),72.05488106717708,1568.262864017547,No
3774-VBNXY,Female,0.0,Yes,Yes,64.0,,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,30.2462204009144,1571.4467663849157,No
6217-KDYWC,Male,0.0,No,Yes,57.0,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,,25.994231636368646,1073.3380722153242,No
0390-DCFDQ,Female,1.0,Yes,No,1.0,Yes,No,,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,75.46607295500435,-131.21183622830318,Yes
3146-MSEGF,Female,,Yes,Yes,72.0,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),88.3943325430749,6733.949452277329,No
4080-OGPJL,Female,0.0,No,No,8.0,Yes,,,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.3958719252258,655.5485983682781,Yes
1095-WGNGG,Female,0.0,Yes,No,61.0,,Yes,,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),104.39094911318378,5935.533529530033,No
2636-SJDOU,Male,,,No,64.0,Yes,Yes,,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),83.35193455502397,5599.21337785596,No
1131-QQZEB,Male,1.0,Yes,No,71.0,Yes,Yes,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.431383014803696,1772.054514203319,No
5716-EZXZN,Female,0.0,Yes,Yes,65.0,Yes,Yes,,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),97.48300958983818,6367.60476049182,No
6837-BJYDQ,Male,0.0,No,No,3.0,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,11.285986447797505,109.4883064724158,No
2135-RXIHG,Male,0.0,No,No,1.0,Yes,No,,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,46.44034844194326,-172.9639108810072,Yes
6440-DKQGE,,0.0,No,Yes,30.0,Yes,No,,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),61.5989682754069,,No
3466-BYAVD,Male,0.0,Yes,Yes,15.0,,No,,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,69.71762053454715,980.9330897842916,No
3780-YVMFA,Female,0.0,Yes,Yes,8.0,Yes,No,,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,71.38048894643538,602.4835195419183,No
3874-EQOEP,Male,0.0,No,No,7.0,Yes,Yes,,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,99.60347144226098,330.92750055779976,Yes
1679-JRFBR,Female,0.0,Yes,Yes,70.0,,Yes,,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,,105.93478106707518,8397.684909055795,No
9073-ZZIAY,Male,0.0,,Yes,62.0,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,82.71366107090837,5033.210466789556,No
3077-RSNTJ,Female,0.0,Yes,Yes,6.0,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,17.86937251923695,-21.539305812729538,No
6551-GNYDG,,0.0,Yes,Yes,14.0,,No,,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),78.16810946084561,1497.1301906775318,No
9167-APMXZ,Female,0.0,No,No,22.0,Yes,Yes,,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),80.93066339666336,,No
2749-CTKAJ,,0.0,Yes,Yes,22.0,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,21.384480926084578,874.8258356718326,No
6371-NZYEG,Male,0.0,Yes,,16.0,Yes,No,,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,67.08818368887808,1308.742604390609,No
7554-NEWDD,Male,0.0,No,No,10.0,Yes,Yes,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.303614885049832,98.07542550408952,No
8992-VONJD,Female,0.0,No,Yes,13.0,Yes,No,,Yes,Yes,No,No,No,No,Month-to-month,Yes,,57.39943242677104,1206.895511807057,No
